Erscheinungsjahr	Titel	Beteiligte Personen	Bibliographischer Hinweis
2016	Visualisierung von Titelzusammenhängen. Titelhistorie und Netzwerkgraph im neuem ZDB-Katalog	Jessica Hubrich	Offen(siv)e Bibliotheken: Neue Zugänge, neue Strukturen, neue Chancen. 32. Österreichischer Bibliothekartag Wien, 15. - 18. September 2015. Hrsg. v. Bruno Bauer, Andreas Ferus und Josef Pauser. Graz-Feldkirch: Neugebaur, 2016. S. 269 - 282. Online verfügbar unter http://sbb.berlin/ioav2w
2016	Die Zeitschriftendatenbank und die Digitalisierung historischer Zeitungen in Deutschland	Hans-Jörg Lieder und Jessica Hubrich	Dialog mit Bibliotheken Ausgabe 02/2016. S.22 – 28. Online verfügbar unter http://d-nb.info/1115809814/34
2016	Coordinating Newspaper Digitisation: Some Facts and Figures	Hans-Jörg Lieder.	Conference paper 2016 IFLA International News Media Conference. Online verfügbar unter http://sbb.berlin/9gk7qy
2016	Visual Representations of Newspaper Information	Jessica Hubrich.	Conference paper 2016 IFLA International News Media Conference. Online verfügbar unter http://sbb.berlin/6y2arj
2014	Zeitungssuche interaktiv: der neue ZDB-Webkatalog. Verschriftlichung des Bibliothekarvortrags für Kongressband	Hans-Jörg Lieder, Jessica Hubrich	o-bib 1 (2014), S. 305 – 311.
2014	Neue Zugänge zum Medium Zeitung: Projekt 'Relaunch des ZDB-Katalogs'	Timon Gerhardt, Jessica Hubrich	Dialog mit Bibliotheken 26 (2014), Nr. 2, S. 47 - 51
2013	Lizenz- und Paketverwaltung in der Zeitschriftendatenbank (ZDB)	Jessica Hubrich	Dialog mit Bibliotheken 25 (2013) 2, S. 49-53
2010	Zeitungen in der ZDB	Bernd Augustin, Johann Rolschewski	Zeitschrift für Bibliothekswesen und Bibliographie 57 (2010), Nr. 3/4, S. 152 - 155
2009	The Zeitschriftendatenbank and the Elektronische Zeitschriftenbibliothek : an Update on Services	Evelinde Hutzler, Ulrike Junger	The Serials Librarian 57 (2009) 4, S. 342-349
2007	Der Gang in die Zeitschriftendatenbank - 'es könnt alles so einfach sein, isses aber nicht'	Susann Solberg	Dialog mit Bibliotheken 19 (2007) 2, S. 32-37
2007	Recent developments concerning the zeitschriftendatenbank (ZDB), the german union catalogue of serials	Andrea Stei	The Serials librarian 53 (2007) 1-2, S. 179-190
2007	ZDB und EZB - auf dem Weg zu neuen integrativen Diensten	Evelinde Hutzer, Ulrike Junger	Information und Ethik - Dritter Leipziger Kongress für Information und Bibliothek (2007), Nr. , S. 628 - 634
2006	Einführung in die ISBD(CR)-Splitregeln für fortlaufende Sammelwerke	Gudrun Henze, Karin Patzer	Bibliotheksdienst 40 (2006), Nr. 7, S. 911 - 912
2004	Die ZDB auf dem Weg zu neuen Diensten: Neue Entwicklungen bei der Zeitschriftendatenbank	Ulrike Junger, Reinhard Altenhöner	Bibliotheksdienst 38 (2004) 11, S. 1445-1454
2003	ZRI - etwas Neues bei der ZDB?	Bernd Augustin	IIE aktuell (2003) 22, S. 1-2.
2002	400.000 laufende Zeitschriften in der ZDB : GKD- und ZDB-spezifische Probleme im Falle eines Umstieg des deutschen Regelwerks und Formats auf AACR2 und MARC21	Barbara Sigrist, Karin Patzer, Barbara Pagel, Reinhard Weber	Bibliotheksdienst 36 (2002) 4, S. 469 – 485.
2001	Bibliothekssigel im Wandel der Zeit	Andreas Heise	II E aktuell (2001) 18, S. 19 – 21.
2001	Die GKD überspringt Grenzen	Elisabeth Pitz	II E aktuell (2001) 18, S. 26 – 27.
2001	Die Katalogisierung von Online-Datenbanken in der Zeitschriftendatenbank	Barbara Pagel	II E aktuell (2001) 18, S. 16 – 19.
2001	Der Knopf zur EZB	Ursula Schulz	II E aktuell (2001) 19, S. 9 - 10.
2001	Nachweis von Zeitschriftentiteln aus der ZDB in den regionalen Verbundsystemen und in Zeitschriftenbestellsystemen	Peter Gruber	II E aktuell (2001) 18, S. 22 – 23.
2001	See you later, aggregator	Barbara Sigrist, Peter Uwe Dittrich	II E aktuell (2001) 19, S. 5 - 7.
2001	Die Spitze des Eisbergs – 5 Jahre Elektronische Zeitschriften in der ZDB, oder von 5 auf 9000	Barbara Sigrist	II E aktuell (2001) 18, S. 14 – 16.
2001	ZDB – Zahlen zu ZDB-Titeln	Ursula Schulz	II E aktuell (2001) 18, S. 23 – 25.
2001	Die ZDB 2000: unendliche Weiten	Marieluise Schillig	II E aktuell (2001) 18, S. 30 – 31.
2001	Die Zeitschriftendatenbank (ZDB) 	Günter Franzmeier	Bibliothek, Forschung und Praxis (2001) 1, S. 72-77
2000	Cataloging and Retrieving E-Journals in the Zeitschriftendatenbank, the German Serials Database	Barbara Sigrist und Andreas Heise	The Serials Librarian 39 (2000) 1, S. 65-74.
2000	Die Datendienste der ZDB und GKD	Peter Gruber	II E aktuell (2000) 16, S. 6 – 7.
2000	Datenmodelle und Datentransfer für die ZDB von IBAS zu Iltis/PICA	Ursula Schulz	II E aktuell (2000) 16, S. 4 – 6.
2000	Geschäftsgänge in der Zeitschriftendatenbank	Barbara Pagel	II E aktuell (2000) 16, S. 8.
2000	Die GKD im ersten halben Jahr im neuen System	Elisabeth Pitz	II E aktuell (2000) 17, S. 9.
2000	Die GKD im neuen System	Elisabeth Pitz	II E aktuell (2000) 16, S. 7.
2000	Die neue Bibliotheksdatei der ZfBB 	Andreas Heise	Bibliotheksdienst 34 (2000) 11, S. 1818 – 1821.
2000	Perspektiven der ZDB	Hartmut Walravens	II E aktuell (2000) 16, S. 3 – 4.
2000	Sigelstelle und Bibliotheksdatei der ZDB vereint in Abteilung II E	Andreas Heise	II E aktuell (2000) 16, S. 10.
2000	Die Sigelstelle und die neue Bibliotheksdatei der ZDB 	Andreas Heise	II E aktuell (2000) 17, S. 1 – 4.
2000	Splitten, aber wie?	Günter Franzmeier	II E aktuell (2000) 16, S. 12 – 17.
2000	Was kann ich für Sie tun? Die Hotline der ZfBB	Sylvia Jacobi	II E aktuell (2000) 16, S. 9.
